"","Date","Plot","EVI","EVI2","GNDVI","NDRE","NDVI","NGRDI","NIRRENDVI","RedEdgeNDVI","RENDVI","RGBVI","SAVI","VARI","PM","EXPT_YEAR","Crop","IRR","ET_wb","DAS","Kc"
"197",2020-12-17,14,0.390401617,0.192549244,0.175013743,0.06865781,0.121314705,-0.054042602,0.145817682,0.06865781,0.121314705,0.039264773,0.182407238,-0.069962573,2.36764428805927,"2020-2021","Green beans",25,0.57,23,0.240745623350044
"198",2020-12-17,15,0.336572657,0.184886132,0.186464583,0.051083713,0.1162981,-0.070860688,0.13957908,0.051083713,0.1162981,0.062959007,0.174589289,0.431341868,2.36764428805927,"2020-2021","Green beans",100,0.6,23,0.253416445631625
"199",2020-12-17,16,0.462218056,0.193006193,0.171114817,0.058215817,0.121417342,-0.049902334,0.14583373,0.058215817,0.121417342,0.304736448,0.18236303,0.165483387,2.36764428805927,"2020-2021","Green beans",75,0.63,23,0.266087267913206
"200",2020-12-17,17,0.409376101,0.190660088,0.172462719,0.057881579,0.119995614,-0.052800439,0.144041667,0.057881579,0.119995614,0.174554455,0.180184211,0.029741108,2.36764428805927,"2020-2021","Green beans",100,0.47,23,0.198509549078106
"201",2020-12-17,18,0.312407802,0.177771412,0.186882429,0.063713304,0.112315624,-0.075370185,0.134785909,0.063713304,0.112315624,0.04413676,0.168708292,-0.110900888,2.36764428805927,"2020-2021","Green beans",50,0.51,23,0.215403978786881
"202",2020-12-17,19,0.279713912,0.186008888,0.214492432,0.059132065,0.117244827,-0.09906263,0.140602694,0.059132065,0.117244827,0.245912839,0.175926955,0.036128557,2.36764428805927,"2020-2021","Green beans",75,0.69,23,0.291428912476369
"204",2020-12-17,20,0.254518424,0.181135075,0.221321173,0.058099581,0.114328321,-0.109042396,0.13717895,0.058099581,0.114328321,0.257658076,0.171583683,0.032191241,2.36764428805927,"2020-2021","Green beans",25,0.46,23,0.194285941650913
"205",2020-12-17,21,0.282760524,0.173772707,0.196597253,0.06707798,0.110081967,-0.087778024,0.131993797,0.06707798,0.110081967,0.232382878,0.165327869,0.037120743,2.36764428805927,"2020-2021","Green beans",25,0.69,23,0.291428912476369
"206",2020-12-17,22,0.350134054,0.182390152,0.174895833,0.072043561,0.115617424,-0.0599375,0.138731061,0.072043561,0.115617424,0.220838761,0.173539773,0.053218664,2.36764428805927,"2020-2021","Green beans",75,0.24,23,0.10136657825265
"207",2020-12-17,23,0.378733274,0.188465427,0.17312778,0.06884351,0.118485645,-0.054913061,0.142171452,0.06884351,0.118485645,0.231839356,0.17786292,0.074027868,2.36764428805927,"2020-2021","Green beans",50,0.88,23,0.37167745359305
"208",2020-12-17,24,0.480140294,0.190955744,0.172219868,0.06122646,0.119861111,-0.052455273,0.143806497,0.06122646,0.119861111,0.022737896,0.179983522,-0.071366308,2.36764428805927,"2020-2021","Green beans",100,0.37,23,0.156273474806169
